job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,人工智能研究院院长,2024-09-10 17:13:11,武汉兴图新科电子股份有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,500-1000人,,,,
2,印前设计,2024-09-10 17:13:11,武汉精臣智慧标识科技有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,,,,,
3,博士后研究员（人工智能方向）,2024-09-10 17:13:11,上海金珵科技有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,少于50人,,,,
4,AI广告销售,2024-09-10 17:13:11,武汉星淑科技有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,,民营,,,,
5,解决方案产品总监,2024-09-10 17:13:11,武汉兴图新科电子股份有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,500-1000人,,,,
6,AI行业重客总监,2024-09-10 17:13:11,福建博士通信息股份有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,通信/电信运营、增值服务,150-500人,,,,
7,AI工程师,2024-09-10 17:13:11,武汉永力科技股份有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,电子技术/半导体/集成电路,150-500人,,,,
8,平面设计/美工,2024-09-10 17:13:11,湖北三垚会展策划服务有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,,民营,,,,
9,智能采集中心主任,2024-09-10 17:13:11,武汉兴图新科电子股份有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,500-1000人,,,,
10,AI人工智能技术工程师（Java),2024-09-10 17:13:11,北京联动北方科技有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,少于50人,,,,
11,婚礼设计师,2024-09-10 17:13:11,武汉绮丽创意文化传播有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,影视/媒体/艺术/文化传播,少于50人,,,,
12,AI算法工程师,2024-09-10 17:13:11,前锦网络信息技术（上海）有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,专业服务(咨询、人力资源、财会),,,,,
13,AI算法工程师,2024-09-10 17:13:11,安徽金晟达生物电子科技有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,电子技术/半导体/集成电路,150-500人,,,,
14,AI智习室教育专家,2024-09-10 17:13:11,武汉振佳长裕商贸有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,批发/零售,150-500人,,,,
15,AI算法工程师,2024-09-10 17:13:11,联通（湖北）产业互联网有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,50-150人,,,,
16,AI人工智能短视频运营,2024-09-10 17:13:11,武汉市美颂雅庭装修设计工程有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,家居/室内设计/装潢,150-500人,,,,
17,AI视觉设计师,2024-09-10 17:13:11,武汉北极光数字科技有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,影视/媒体/艺术/文化传播,50-150人,,,,
18,重客总监,2024-09-10 17:13:11,福建博士通信息股份有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,通信/电信运营、增值服务,150-500人,,,,
19,AI训练师,2024-09-10 17:13:11,星境云创数字技术（深圳）有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,互联网/电子商务,150-500人,,,,
20,超声高级销售经理,2024-09-10 17:13:11,数坤科技股份有限公司,2-4万,武汉·东湖新技术产业开发区,8年及以上,硕士,,计算机软件,500-1000人,,,,
21,PAMAT-Trade Regional Manager-Wuhan,2024-09-10 08:39:13,赛诺菲（中国）投资有限公司上海分公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,制药/生物工程,5000-10000人,,,,
22,AI主美,2024-09-10 08:39:13,武汉北极光数字科技有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,影视/媒体/艺术/文化传播,50-150人,,,,
23,AI算法工程师,2024-09-10 08:39:13,东云睿连（武汉）计算技术有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,计算机软件,少于50人,,,,
24,服装设计师,2024-09-10 08:39:13,深圳市三石服饰有限公司武汉分公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,服装/纺织/皮革,150-500人,,,,
25,知名品牌快消品全国销售总监,2024-09-10 08:39:13,福建博士通信息股份有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,通信/电信运营、增值服务,150-500人,,,,
26,人工智能工程师,2024-09-10 08:39:13,武汉唯众智创科技有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,计算机软件,少于50人,,,,
27,人工智能开发工程师,2024-09-10 08:39:13,璞华国际科技（武汉）有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,计算机软件,150-500人,,,,
28,电商运营总监,2024-09-10 08:39:13,湖北恒安芙林药业股份有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,制药/生物工程,500-1000人,,,,
29,人工智能工程师（计算机视觉方向）(J11023),2024-09-10 08:39:13,中移（上海）信息通信科技有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,通信/电信/网络设备,10000人以上,,,,
30,二航希迪科技有限公司AI开发工程师,2024-09-10 08:39:13,中交第二航务工程勘察设计院有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,建筑/建材/工程,500-1000人,,,,
31,嵌入式软件开发工程师-AI应用开发,2024-09-10 08:39:13,湖北亿立能科技股份有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,电气/电力/水利,50-150人,,,,
32,新媒体运营,2024-09-10 08:39:13,武汉沃宇节能科技有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,原材料和加工,50-150人,,,,
33,产品经理(J11319),2024-09-10 08:39:13,华新水泥股份有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,建筑/建材/工程,10000人以上,,,,
34,品牌经理,2024-09-10 08:39:13,景网技术有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,多元化业务集团公司,150-500人,,,,
35,宣传片导演,2024-09-10 08:39:13,武汉北极光数字科技有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,影视/媒体/艺术/文化传播,50-150人,,,,
36,游戏美术/动漫/动作设计师助理,2024-09-10 08:39:13,武汉知鑫信息科技有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,计算机软件,,,,,
37,AI算法工程师,2024-09-10 08:39:13,武汉新能纪元技术有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,计算机软件,少于50人,,,,
38,图书排版,2024-09-10 08:39:13,武汉新路学业图书发行有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,文字媒体/出版,50-150人,,,,
39,淘宝美工,2024-09-10 08:39:13,武汉楚通达供应链管理有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,交通/运输/物流,50-150人,,,,
40,模型师,2024-09-10 08:39:13,武汉升维科技有限公司,3.5-4.5万,武汉·江岸区,10年及以上,本科,,影视/媒体/艺术/文化传播,少于50人,,,,
