job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,云原生产品助理实习生,2024/9/10 12:02,江西正天商务咨询有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,计算机服务(系统、数据服务、维修),50-150人,,,,
2,Python开发,2024/9/10 12:02,中电金信软件有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,计算机软件,10000人以上,,,,
3,软件开发或测试,2024/9/10 12:02,内蒙古重晟信息技术服务有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,互联网/电子商务,少于50人,,,,
4,网络系统管理员,2024/9/10 12:02,西川新业（成都）电子有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,电子技术/半导体/集成电路,少于50人,,,,
5,Python软件工程师（量子计算）,2024/9/10 12:02,中国科学技术大学上海研究院,8千-1.2万,西安·雁塔区,无需经验,大专,,教育/培训/院校,少于50人,,,,
6,网络设备开发工程师,2024/9/10 12:02,北京中科网航安全技术有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,通信/电信运营、增值服务,少于50人,,,,
7,软件开发或测试,2024/9/10 12:02,内蒙古重晟信息技术服务有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,互联网/电子商务,少于50人,,,,
8,后端开发工程师（python）,2024/9/10 12:02,中国移动通信有限公司研究院,8千-1.2万,西安·雁塔区,无需经验,大专,,通信/电信/网络设备,10000人以上,,,,
9,Python开发工程师,2024/9/10 12:02,陕西公众电气股份有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,电气/电力/水利,50-150人,,,,
10,人工智能开发,2024/9/10 12:02,陕西华码半导体科技有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,电子技术/半导体/集成电路,,,,,
11,数字验证资深工程师 (MJ000273),2024/9/10 12:02,兆易创新科技集团股份有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,电子技术/半导体/集成电路,1000-5000人,,,,
12,Python后台开发工程师,2024/9/10 12:02,江苏润和软件股份有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,计算机软件,10000人以上,,,,
13,生物信息学工程师,2024/9/10 12:02,沈阳万类生物科技有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,制药/生物工程,150-500人,,,,
14,C/C++等（接受考研二战失败）,2024/9/10 12:02,陕西华码半导体科技有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,电子技术/半导体/集成电路,,,,,
15,大数据开发（西安固定13薪）,2024/9/10 12:02,中软国际科技服务有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,计算机软件,10000人以上,,,,
16,Python工程师,2024/9/10 12:02,西安鹰之航航空科技股份有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,航天/航空,50-150人,,,,
17,软件开发,2024/9/10 12:02,内蒙古重晟信息技术服务有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,计算机软件,少于50人,,,,
18,软件开发工程师（接受应届、转行）,2024/9/10 12:02,陕西华码半导体科技有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,电子技术/半导体/集成电路,,,,,
19,架构师（西安固定13薪）,2024/9/10 12:02,中软国际科技服务有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,计算机软件,10000人以上,,,,
20,网络安全运维工程师,2024/9/10 12:02,北京中科网航安全技术有限公司,8千-1.2万,西安·雁塔区,无需经验,大专,,通信/电信运营、增值服务,少于50人,,,,
21,网络安全运维工程师,2024/9/9 6:03,北京中科网航安全技术有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,通信/电信运营、增值服务,少于50人,,,,
22,软件工程师助理,2024/9/9 6:03,上海骐骥极创电子科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,电子技术/半导体/集成电路,50-150人,,,,
23,数据采集,2024/9/9 6:03,上海洁仕堡科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,批发/零售,,,,,
24,devops工程师（西安固定13薪）,2024/9/9 6:03,中软国际科技服务有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,10000人以上,,,,
25,java 开发工程师,2024/9/9 6:03,陕西泰如康科技有限责任公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,少于50人,,,,
26,运维工程师,2024/9/9 6:03,西川新业（成都）电子有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,电子技术/半导体/集成电路,少于50人,,,,
27,DevOps,2024/9/9 6:03,中电金信软件有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,10000人以上,,,,
28,网络系统管理员,2024/9/9 6:03,陕西远大众诚电子商务有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,金融/投资/证券,,,,,
29,软件测试,2024/9/9 6:03,上海洁仕堡科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,批发/零售,,,,,
30,运维工程师,2024/9/9 6:03,陕西秦轶网络科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,,,,,
31,数据分析,2024/9/9 6:03,西安乐鱼信息科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,150-500人,,,,
32,软件开发工程师 西安,2024/9/9 6:03,聚融医疗科技（杭州）有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,医疗设备/器械,150-500人,,,,
33,机器学习（广州固定13薪）,2024/9/9 6:03,中软国际科技服务有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,10000人以上,,,,
34,软件测试,2024/9/9 6:03,陕西秦轶网络科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,,,,,
35,AI测试工程师 (MJ006708),2024/9/9 6:03,中兴通讯股份有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,通信/电信/网络设备,10000人以上,,,,
36,嵌入式软件工程师,2024/9/9 6:03,西安航天民芯科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,电子技术/半导体/集成电路,150-500人,,,,
37,机器学习（西安固定13薪）,2024/9/9 6:03,中软国际科技服务有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,10000人以上,,,,
38,软件测试助理工程师(测试中心),2024/9/9 6:03,浙江宇视科技有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,1000-5000人,,,,
39,自动化测试,2024/9/9 6:03,湖南拓维云创科技有限责任公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,1000-5000人,,,,
40,Devops工程师,2024/9/9 6:03,海南钦诚软件技术有限公司,4.5-7.5千,西安·雁塔区,3年及以上,本科,,计算机软件,,,,,
41,高级数字验证工程师,2024/8/30 16:11,眸芯科技（上海）有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,电子技术/半导体/集成电路,150-500人,,,,
42,前端开发工程师,2024/8/30 16:11,四川傲空航天科技有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,少于50人,,,,
43,golang开发助理工程师(园区),2024/8/30 16:11,浙江宇视科技有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,1000-5000人,,,,
44,运维开发（要求Terraform经验）,2024/8/30 16:11,信必优(深圳)信息技术有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,1000-5000人,,,,
45,西安GSC远程交付中心项目,2024/8/30 16:11,嘉环科技股份有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,通信/电信/网络设备,10000人以上,,,,
46,数字IC验证工程师 (MJ000008),2024/8/30 16:11,紫光同芯微电子有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,电子技术/半导体/集成电路,1000-5000人,,,,
47,C++应届生（自研，需现场面试）,2024/8/30 16:11,江苏润和软件股份有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,10000人以上,,,,
48,软件开发工程师（初级）,2024/8/30 16:11,四川傲空航天科技有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,少于50人,,,,
49,配置管理（CMO）,2024/8/30 16:11,武汉佰钧成技术有限责任公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,10000人以上,,,,
50,C/C++开发工程师,2024/8/30 16:11,陕西华码半导体科技有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,电子技术/半导体/集成电路,,,,,
51,数据分析岗,2024/8/30 16:11,亿维融智软件科技（北京）有限公司西安分公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,少于50人,,,,
52,Java开发工程师—世界500强外资,2024/8/30 16:11,前锦网络信息技术（上海）有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,专业服务(咨询、人力资源、财会),,,,,
53,应用软件开发（大数据与人工智智能）,2024/8/30 16:11,重庆航天火箭电子技术有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,通信/电信/网络设备,500-1000人,,,,
54,高级数据库管理员,2024/8/30 16:11,湖北云辰智慧科技有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,50-150人,,,,
55,AI工程师,2024/8/30 16:11,西安开天铁路电气股份有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,仪器仪表/工业自动化,150-500人,,,,
56,C++中级工程师,2024/8/30 16:11,陕西中科梓逸信息技术有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,计算机软件,50-150人,,,,
57,C++开发实习,2024/8/30 16:11,陕西华码半导体科技有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,电子技术/半导体/集成电路,,,,,
58,深度学习图像算法工程师,2024/8/30 16:11,西安亦合智能科技有限公司,3-5万·16薪,西安·高新技术产业开发区,5-7年,硕士,,仪器仪表/工业自动化,少于50人,,,,
