job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,医学经理,2024-09-10 16:33:31,深圳市康哲药业有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,批发/零售,1000-5000人,,,,
2,销售管理岗（优选：成都）(J13209),2024-09-10 16:33:31,泸州老窖优选供应链管理有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,快速消费品(食品、饮料、化妆品),,,,,
3,采购经理,2024-09-10 16:33:31,湖南瑞生医疗科技有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,医疗设备/器械,150-500人,,,,
4,商务经理（湖南）(J10468),2024-09-10 16:33:31,上海思路迪生物医学科技有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,医疗设备/器械,500-1000人,,,,
5,Key Account Manager大客户销售经理,2024-09-10 16:33:31,华福涂料（江门）有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,原材料和加工,50-150人,,,,
6,公共关系经理/备案并网经理（湖南）,2024-09-10 16:33:31,正泰安能数字能源（浙江）股份有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,,民营,,,,
7,制剂项目经理,2024-09-10 16:33:31,深圳市麟越人力资源有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,专业服务(咨询、人力资源、财会),少于50人,,,,
8,商业运营经理,2024-09-10 16:33:31,龙湖集团地产,2.2-3.5万,长沙·开福区,3年及以上,硕士,,,民营,,,,
9,项目经理,2024-09-10 16:33:31,北京三维天地科技股份有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,计算机软件,500-1000人,,,,
10,山润小镇老平江餐厅总经理,2024-09-10 16:33:31,湖南山润山茶油销售有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,快速消费品(食品、饮料、化妆品),500-1000人,,,,
11,酒店财务经理,2024-09-10 16:33:31,湖南金富建设投资有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,建筑/建材/工程,150-500人,,,,
12,商业推广经理,2024-09-10 16:33:31,龙湖集团地产,2.2-3.5万,长沙·开福区,3年及以上,硕士,,,民营,,,,
13,玉湖冷链长沙副总经理（招商运营）,2024-09-10 16:33:31,玉湖冷链物流（广州）有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,交通/运输/物流,500-1000人,,,,
14,业务发展经理,2024-09-10 16:33:31,湖南来客尚屏信息科技有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,计算机服务(系统、数据服务、维修),少于50人,,,,
15,生产部经理,2024-09-10 16:33:31,湖南领瑞玻璃有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,原材料和加工,50-150人,,,,
16,实施/项目经理,2024-09-10 16:33:31,北京三维天地科技股份有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,计算机软件,500-1000人,,,,
17,国家经理（区域经理）,2024-09-10 16:33:31,三诺生物传感股份有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,医疗设备/器械,1000-5000人,,,,
18,特约区域经理（兼职）,2024-09-10 16:33:31,厦门欧贝传动科技股份有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,仪器仪表/工业自动化,50-150人,,,,
19,酒店客房经理,2024-09-10 16:33:31,湖南金富建设投资有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,建筑/建材/工程,150-500人,,,,
20,生产经理（PV）,2024-09-10 16:33:31,舍弗勒（湘潭）有限公司,2.2-3.5万,长沙·开福区,3年及以上,硕士,,,外资（欧美）,,,,
21,特约区域经理（兼职）,2024-09-10 09:54:33,厦门欧贝传动科技股份有限公司,1.2-1.6万,,5年及以上,,,仪器仪表/工业自动化,50-150人,,,,
22,法拍经理,2024-09-10 09:54:33,长沙市天心区美姐好房电子商务工作室,1.2-1.6万,,5年及以上,,,,民营,,,,
23,区域经理,2024-09-10 09:54:33,株洲三达电子制造有限公司,1.2-1.6万,,5年及以上,,,电子技术/半导体/集成电路,少于50人,,,,
24,大学校园市场开发经理,2024-09-10 09:54:33,长沙一桶金流量为王商务咨询有限责任公司,1.2-1.6万,,5年及以上,,,专业服务(咨询、人力资源、财会),,,,,
25,株洲市场开发经理15-25（年薪）,2024-09-10 09:54:33,金彩螺新材料科技有限公司,1.2-1.6万,,5年及以上,,,,民营,,,,
26,区域经理,2024-09-10 09:54:33,上海皮尔萨管业有限公司,1.2-1.6万,,5年及以上,,,建筑/建材/工程,150-500人,,,,
27,地级市经理或地级市合伙人（全国范围内常驻各地级市）,2024-09-10 09:54:33,浙江高跖医药科技股份有限公司,1.2-1.6万,,5年及以上,,,制药/生物工程,50-150人,,,,
28,融资担保项目经理,2024-09-10 09:54:33,长沙晖瑞小额贷款有限公司,1.2-1.6万,,5年及以上,,,金融/投资/证券,少于50人,,,,
29,地区经理-湖南+广东(J10727),2024-09-10 09:54:33,上海君实生物医药科技股份有限公司,1.2-1.6万,,5年及以上,,,制药/生物工程,1000-5000人,,,,
30,微电网营销经理（出差海外）,2024-09-10 09:54:33,三一汽车起重机械有限公司,1.2-1.6万,,5年及以上,,,机械/设备/重工,少于50人,,,,
31,山润小镇大酒店总经理,2024-09-10 09:54:33,湖南山润山茶油销售有限公司,1.2-1.6万,,5年及以上,,,快速消费品(食品、饮料、化妆品),500-1000人,,,,
32,运营流程经理,2024-09-10 09:54:33,中伟新材料股份有限公司,1.2-1.6万,,5年及以上,,,,民营,,,,
33,呼叫中心培训经理,2024-09-10 09:54:33,上海维音信息技术股份有限公司,1.2-1.6万,,5年及以上,,,互联网/电子商务,10000人以上,,,,
34,District Sales Manager - Scania Local Project,2024-09-10 09:54:33,斯堪尼亚销售（中国）有限公司,1.2-1.6万,,5年及以上,,,,外资（欧美）,,,,
35,Development Manager 拓展经理,2024-09-10 09:54:33,达捷公坊商务服务（上海）有限公司,1.2-1.6万,,5年及以上,,,物业管理/商业中心,150-500人,,,,
36,长沙-软件交付经理,2024-09-10 09:54:33,北京三维天地科技股份有限公司,1.2-1.6万,,5年及以上,,,计算机软件,500-1000人,,,,
37,区域经理(J15684),2024-09-10 09:54:33,东方雨虹民用建材有限责任公司,1.2-1.6万,,5年及以上,,,建筑/建材/工程,1000-5000人,,,,
38,部门经理助理,2024-09-10 09:54:33,长沙思韵电子科技有限公司,1.2-1.6万,,5年及以上,,,电子技术/半导体/集成电路,少于50人,,,,
39,生产财务BP经理,2024-09-10 09:54:33,盐津铺子食品股份有限公司,1.2-1.6万,,5年及以上,,,快速消费品(食品、饮料、化妆品),1000-5000人,,,,
40,船务经理（急聘）,2024-09-10 09:54:33,深圳市联力国际供应链管理有限公司,1.2-1.6万,,5年及以上,,,交通/运输/物流,150-500人,,,,
41,长沙城市经理,2024-09-10 11:46:10,厦门如意三煲食品有限公司,8.5千-1.2万,长沙,3-4年,大专,,快速消费品(食品、饮料、化妆品),500-1000人,,,,
42,城市经理/主管（全国各地 白酒）,2024-09-10 11:46:10,贵州董酒销售有限公司,8.5千-1.2万,长沙,3-4年,大专,,快速消费品(食品、饮料、化妆品),1000-5000人,,,,
43,大客户销售经理,2024-09-10 11:46:10,湖南时铭电气有限公司,8.5千-1.2万,长沙,3-4年,大专,,电子技术/半导体/集成电路,50-150人,,,,
44,养老项目总经理,2024-09-10 11:46:10,湖南九悦九养老产业集团有限公司,8.5千-1.2万,长沙,3-4年,大专,,,民营,,,,
45,医药产品经理（蓝芩）,2024-09-10 11:46:10,湖南赛灵医药科技有限公司,8.5千-1.2万,长沙,3-4年,大专,,制药/生物工程,150-500人,,,,
